genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
nonfiction,"Amazon Digital Services,  Inc.",602.742,602.742,3013.71,1808.226,381,(Single-Author Publisher),single author,4.72,7.91,271,3189
genre fiction,Simon and Schuster Digital Sales Inc,227.24,227.24,1136.2,681.72,380,Margaret K. McElderry Books,big five,4.17,2.99,272,2730
nonfiction,Penguin Group (USA) LLC,377.244,377.244,1886.22,1131.732,378,Viking Adult,big five,4.83,4.99,273,1011
genre fiction,"Amazon Digital Services,  Inc.",224.848,224.848,1124.24,674.544,376,(Small or Medium Publisher),small/medium,4.12,2.99,274,247
genre fiction,"Amazon Digital Services,  Inc.",241.3125,129.9375,371.25,0.0,375,(Indie Publisher),indie,3.99,0.99,275,1474
genre fiction,Random House LLC,374.25,374.25,1871.25,1122.75,375,Delacorte Press,big five,4.28,4.99,275,1539
genre fiction,"Amazon Digital Services,  Inc.",446.481,1041.789,1488.27,0.0,373,(Indie Publisher),indie,4.87,3.99,276,64
genre fiction,Hachette Book Group,223.054,223.054,1115.27,669.162,373,Center Street,big five,4.5,2.99,276,86
genre fiction,"Amazon Digital Services,  Inc.",238.095,128.205,366.3,0.0,370,(Indie Publisher),indie,4.77,0.99,278,473
nonfiction,Hachette Book Group,555.0,555.0,2775.0,1665.0,370,"Little, Brown and Company",big five,4.04,7.5,278,1113
genre fiction,Random House LLC,220.064,220.064,1100.32,660.192,368,Delacorte Press,big five,4.24,2.99,279,4268
genre fiction,"Amazon Digital Services,  Inc.",328.302,766.038,1094.34,0.0,366,(Indie Publisher),indie,4.43,2.99,280,1101
genre fiction,Penguin Group (USA) LLC,877.668,877.668,4388.34,2633.004,366,Putnam Adult,big five,0.0,11.99,280,0
nonfiction,HarperCollins Publishers,816.87,816.87,4084.35,2450.61,365,Ecco,big five,4.18,11.19,281,27
genre fiction,"Amazon Digital Services,  Inc.",1177.3905,633.9795,1811.37,0.0,363,Thomas & Mercer,amazon,3.8,4.99,282,5
genre fiction,"Amazon Digital Services,  Inc.",217.074,217.074,1085.37,651.222,363,(Single-Author Publisher),single author,4.97,2.99,282,34
genre fiction,"Amazon Digital Services,  Inc.",71.478,71.478,357.39,214.434,361,(Single-Author Publisher),single author,4.62,0.99,283,27
genre fiction,Penguin Group (USA) LLC,215.878,215.878,1079.39,647.634,361,Berkley,big five,3.72,2.99,283,5468
